field,missing,minimum,p1,p99,maximum,rule_violations,treatment
age,0,19.0,19.0,72.0,78.0,0,Retained; extreme but plausible for a lending population.
annual_income_at_application,32,18000.0,19302.957300000002,266385.75730000006,350000.0,0,Retained; extreme but plausible for a lending population.
employment_years,48,0.2,0.6,22.2,32.6,55,Excluded until the source is corrected.
credit_score,29,497.0,536.6,821.0,840.0,0,Retained; extreme but plausible for a lending population.
debt_to_income,0,0.02,0.034097999999999996,0.546078,0.6698,0,Retained; extreme but plausible for a lending population.
loan_amount,0,2079.92,3503.5434,93797.34059999997,120000.0,0,Retained; extreme but plausible for a lending population.
interest_rate,0,0.04,0.044399,0.15112499999999998,0.1838,0,Retained; extreme but plausible for a lending population.
credit_utilization,23,0.0232,0.06966,0.9084920000000001,0.978,0,Retained; extreme but plausible for a lending population.
num_open_accounts,0,1.0,1.0,14.0,16.0,0,Retained; extreme but plausible for a lending population.
delinq_2y,0,0.0,0.0,3.0,4.0,0,Retained; extreme but plausible for a lending population.
inq_6m,0,0.0,0.0,5.0,6.0,0,Retained; extreme but plausible for a lending population.
