quarter,rows,label_available_rate,observed_labels,defaults,observed_default_rate,median_months_observed
2022Q1,62,1.0,62,2.0,0.03225806451612903,43.5
2022Q2,89,1.0,89,4.0,0.0449438202247191,40.4
2022Q3,69,1.0,69,1.0,0.014492753623188406,37.8
2022Q4,63,1.0,63,0.0,0.0,34.5
2023Q1,63,1.0,63,2.0,0.031746031746031744,31.8
2023Q2,56,1.0,56,2.0,0.03571428571428571,28.45
2023Q3,89,1.0,89,2.0,0.02247191011235955,25.7
2023Q4,75,1.0,75,3.0,0.04,22.5
2024Q1,73,1.0,73,3.0,0.0410958904109589,19.5
2024Q2,65,1.0,65,3.0,0.046153846153846156,16.5
2024Q3,86,0.9651162790697675,83,5.0,0.060240963855421686,13.4
2024Q4,78,0.0,0,0.0,,10.3
2025Q1,47,0.0,0,0.0,,7.2
2025Q2,67,0.0,0,0.0,,4.6
