dimension,level,rows,defaults,default_rate,mean_predicted_probability,high_risk_flag_rate,roc_auc,readable
home_ownership,MORTGAGE,69,3,0.043478260869565216,0.013389065456642132,0.13043478260869565,0.9393939393939394,yes
home_ownership,OWN,13,1,0.07692307692307693,0.03278947620083697,0.23076923076923078,0.8333333333333334,"no, cell too small"
home_ownership,RENT,78,5,0.0641025641025641,0.025541121334769094,0.23076923076923078,0.8493150684931507,yes
channel,branch,28,2,0.07142857142857142,0.025133163588161915,0.17857142857142858,0.9615384615384616,"no, cell too small"
channel,mobile,20,1,0.05,0.006819718582305517,0.05,1.0,"no, cell too small"
channel,partner,32,2,0.0625,0.02483447733941265,0.125,0.8833333333333334,"no, cell too small"
channel,web,80,4,0.05,0.02134362430319161,0.25,0.7828947368421053,yes
state,CA,26,3,0.11538461538461539,0.028427443788351874,0.2692307692307692,0.7826086956521738,"no, cell too small"
state,FL,19,2,0.10526315789473684,0.024104031515595876,0.2631578947368421,0.9117647058823529,"no, cell too small"
state,GA,11,0,0.0,0.011333766824979993,0.09090909090909091,,"no, cell too small"
state,IL,10,1,0.1,0.01950746913251577,0.1,1.0,"no, cell too small"
state,MA,10,0,0.0,0.01205093623337772,0.2,,"no, cell too small"
state,NC,8,0,0.0,0.009853254118541308,0.0,,"no, cell too small"
state,NJ,13,1,0.07692307692307693,0.012967404694779647,0.07692307692307693,1.0,"no, cell too small"
state,NY,20,1,0.05,0.03633683453216825,0.3,0.4736842105263158,"no, cell too small"
state,OH,13,0,0.0,0.009871997575851218,0.07692307692307693,,"no, cell too small"
state,PA,10,1,0.1,0.04163214036814099,0.5,0.5555555555555556,"no, cell too small"
state,TX,10,0,0.0,0.008341347906146632,0.0,,"no, cell too small"
state,VA,10,0,0.0,0.010276070935121905,0.1,,"no, cell too small"
