study,step,test_roc_auc,seed_minimum,seed_maximum,test_rows,test_defaults
sufficiency 2x2,leaked fields kept; oversampling before the split,1.0,1.0,1.0,,
sufficiency 2x2,leaked fields kept; oversampling after the split,0.9908,0.9545,1.0,,
sufficiency 2x2,leaked fields removed; oversampling before the split,0.9999,0.9994,1.0,,
sufficiency 2x2,leaked fields removed; oversampling after the split,0.6813,0.5726,0.778,,
cumulative repair ladder,R0 as submitted,1.0,,,486.0,256.0
cumulative repair ladder,R1 drop leaked and post-decision fields,1.0,,,486.0,256.0
cumulative repair ladder,R2 oversample after the split,0.778,,,250.0,5.0
cumulative repair ladder,R3 fit preprocessing and screening on training rows only,0.7649,,,250.0,5.0
cumulative repair ladder,R4 drop the censored rows instead of relabelling them,0.6755,,,202.0,4.0
cumulative repair ladder,R5 split chronologically instead of at random,0.6364,,,202.0,12.0
